dataset,subject,n,n_classes,source_acc,top2_oracle,prior_shift_oracle,uniform_prior_acc,d_top2,d_prior_shift,d_uniform
2a,1,288,4,85.7639,97.5694,87.5000,85.7639,11.8056,1.7361,0.0000
2a,2,288,4,72.5694,88.8889,76.3889,72.5694,16.3194,3.8194,0.0000
2a,3,288,4,93.0556,98.9583,95.4861,93.0556,5.9028,2.4306,0.0000
2a,4,288,4,81.9444,93.7500,84.0278,81.9444,11.8056,2.0833,0.0000
2a,5,288,4,77.4306,91.6667,82.2917,77.4306,14.2361,4.8611,0.0000
2a,6,288,4,70.4861,88.8889,72.2222,70.4861,18.4028,1.7361,0.0000
2a,7,288,4,90.9722,99.3056,96.5278,90.9722,8.3333,5.5556,0.0000
2a,8,288,4,84.3750,95.1389,87.8472,84.3750,10.7639,3.4722,0.0000
2a,9,288,4,87.8472,96.8750,92.3611,87.8472,9.0278,4.5139,0.0000
2b,1,320,2,78.7500,100.0000,81.8750,78.7500,21.2500,3.1250,0.0000
2b,2,280,2,70.0000,100.0000,71.7857,70.0000,30.0000,1.7857,0.0000
2b,3,320,2,84.3750,100.0000,87.5000,84.3750,15.6250,3.1250,0.0000
2b,4,320,2,98.1250,100.0000,98.4375,98.1250,1.8750,0.3125,0.0000
2b,5,320,2,97.8125,100.0000,99.3750,97.8125,2.1875,1.5625,0.0000
2b,6,320,2,83.7500,100.0000,87.8125,83.7500,16.2500,4.0625,0.0000
2b,7,320,2,93.1250,100.0000,93.1250,93.1250,6.8750,0.0000,0.0000
2b,8,320,2,94.6875,100.0000,95.9375,94.6875,5.3125,1.2500,0.0000
2b,9,320,2,89.0625,100.0000,89.3750,89.0625,10.9375,0.3125,0.0000
hgd,1,160,4,90.0000,97.5000,95.6250,90.0000,7.5000,5.6250,0.0000
hgd,2,160,4,83.7500,98.1250,90.6250,83.7500,14.3750,6.8750,0.0000
hgd,3,160,4,97.5000,100.0000,100.0000,97.5000,2.5000,2.5000,0.0000
hgd,4,160,4,100.0000,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
hgd,5,160,4,100.0000,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
hgd,6,160,4,95.6250,100.0000,98.1250,95.6250,4.3750,2.5000,0.0000
hgd,7,160,4,86.8750,98.7500,95.0000,86.8750,11.8750,8.1250,0.0000
hgd,8,160,4,96.2500,100.0000,97.5000,96.2500,3.7500,1.2500,0.0000
hgd,9,160,4,100.0000,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000
hgd,10,160,4,95.0000,98.1250,96.2500,95.0000,3.1250,1.2500,0.0000
hgd,11,160,4,92.5000,100.0000,99.3750,92.5000,7.5000,6.8750,0.0000
