plan,variant,label,mean_acc,delta,worst,hsc
C,source_only,Source,82.72,+0.00,+0.00,0/9
C,replay_safe_uniform,Replay-Safe,83.41,+0.69,-0.35,0/9
C,dc_corr_alpha_01,DC safe a=.01,83.33,+0.62,+0.00,0/9
C,dc_grid_a01_m65_n8_tol0,DC safe grid,83.37,+0.66,-0.35,0/9
C,dc_correction_memory_no_commit,DC L1+L2,83.57,+0.85,-1.04,1/9
C,dc_grid_a04_m55_n8_tol5e5,DC high mean,83.95,+1.23,-1.38,1/9
C,dc_grid_a08_m45_n8_tol0,DC B best,83.33,+0.62,-1.74,3/9
B,source_only,Source,75.63,+0.00,+0.00,0/12
B,replay_safe_uniform,Replay-Safe,76.01,+0.38,-0.69,1/12
B,dc_corr_alpha_01,DC safe a=.01,75.87,+0.23,-1.04,3/12
B,dc_grid_a01_m65_n8_tol0,DC safe grid,75.87,+0.23,-1.38,2/12
B,dc_correction_memory_no_commit,DC L1+L2,75.90,+0.26,-1.04,3/12
B,dc_grid_a04_m55_n8_tol5e5,DC high mean,76.07,+0.44,-1.73,4/12
B,dc_grid_a08_m45_n8_tol0,DC B best,76.13,+0.49,-1.04,4/12
