variant,label,mean_acc,delta,hsc,trials,commit,model_commit,memory_admitted,candidate_trials,sim_finite,sim_pos,correction_strength_mean,drift_max
dc_correction_memory_no_commit,L1+L2 no commit,83.56555555555556,0.8488888888888921,1,2592,0,0,769,61,0,0,0.003257873773809142,0.7093443274497986
dc_replay_gated,Replay-gated,83.56555555555556,0.8488888888888921,1,2592,111,111,769,1085,195,111,0.0032579824091252155,0.7093443274497986
dc_commit_no_replay_gate,No replay gate,83.56555555555556,0.8488888888888921,1,2592,150,150,769,842,0,0,0.0032578092170106286,0.7093443274497986
dc_random_sparse_p10,Random sparse,83.56555555555556,0.8488888888888921,1,2592,33,33,769,233,0,0,0.0032579230387314675,0.7093443274497986
dc_grid_a04_m55_n8_tol5e5,High mean tol,83.9511111111111,1.2344444444444445,1,2592,0,0,750,1853,376,244,0.011996382077013326,1.0182331800460815
dc_correction_memory_no_commit,L1+L2 no commit,75.89750000000001,0.2633333333333348,3,3456,0,0,743,972,0,0,0.004025655946150066,1.160124659538269
dc_replay_gated,Replay-gated,75.89750000000001,0.2633333333333348,3,3456,101,101,743,2193,207,101,0.004025855670554982,1.160124659538269
dc_commit_no_replay_gate,No replay gate,75.89750000000001,0.2633333333333348,3,3456,153,153,743,1919,0,0,0.004025702546724856,1.160124659538269
dc_random_sparse_p10,Random sparse,75.89750000000001,0.2633333333333348,3,3456,23,23,743,1118,0,0,0.004025639650940867,1.160124659538269
dc_grid_a04_m55_n8_tol5e5,High mean tol,76.07083333333334,0.4366666666666686,4,3456,0,0,707,2958,373,215,0.015110337032069765,1.3949908018112183
