method,subject,acc,delta_vs_source
source_only,1,85.76,0.0
source_only,2,72.57000000000001,0.0
source_only,3,93.06,0.0
source_only,4,81.94,0.0
source_only,5,77.42999999999999,0.0
source_only,6,70.49,0.0
source_only,7,90.97,0.0
source_only,8,84.38,0.0
source_only,9,87.85,0.0
policy_safe_no_shallow,1,86.11,0.35
policy_safe_no_shallow,2,73.96000000000001,1.39
policy_safe_no_shallow,3,93.06,0.0
policy_safe_no_shallow,4,82.28999999999999,0.35
policy_safe_no_shallow,5,78.12,0.69
policy_safe_no_shallow,6,70.14,-0.35
policy_safe_no_shallow,7,90.97,0.0
policy_safe_no_shallow,8,84.38,0.0
policy_safe_no_shallow,9,89.24,1.39
replay_safe_uniform,1,86.11,0.35
replay_safe_uniform,2,72.22,-0.35
replay_safe_uniform,3,94.78999999999999,1.73
replay_safe_uniform,4,81.94,0.0
replay_safe_uniform,5,78.12,0.69
replay_safe_uniform,6,70.83,0.34
replay_safe_uniform,7,93.06,2.09
replay_safe_uniform,8,84.38,0.0
replay_safe_uniform,9,89.24,1.39
replay_h6_weighted,1,86.11,0.35
replay_h6_weighted,2,72.22,-0.35
replay_h6_weighted,3,94.1,1.04
replay_h6_weighted,4,81.94,0.0
replay_h6_weighted,5,78.12,0.69
replay_h6_weighted,6,70.83,0.34
replay_h6_weighted,7,93.06,2.09
replay_h6_weighted,8,84.03,-0.35
replay_h6_weighted,9,88.53999999999999,0.69
