dataset,setting,subject,seed,method,accuracy,source_accuracy,delta_vs_source,mean_acc,worst_delta_vs_source,ntr_s_0p5,source_file
BCIC IV-2a,aug_True_9subj,S1,0,source_only,85.76,85.76,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S2,0,source_only,72.57,72.57,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S3,0,source_only,93.06,93.06,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S4,0,source_only,81.94,81.94,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S5,0,source_only,77.43,77.43,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S6,0,source_only,70.49,70.49,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S7,0,source_only,90.97,90.97,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S8,0,source_only,84.38,84.38,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S9,0,source_only,87.85,87.85,0.0,82.717,0.0,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
BCIC IV-2a,aug_True_9subj,S1,0,policy_safe_no_shallow,86.11,85.76,0.35,83.141,-0.35,0/9,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
