subject,method,source_acc,method_acc,delta_vs_source,ntr_flag_0p5,source_file
S1,policy_safe_no_shallow,85.76,86.11,0.35,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S2,policy_safe_no_shallow,72.57,73.96,1.39,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S3,policy_safe_no_shallow,93.06,93.06,0.0,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S4,policy_safe_no_shallow,81.94,82.29,0.35,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S5,policy_safe_no_shallow,77.43,78.12,0.69,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S6,policy_safe_no_shallow,70.49,70.14,-0.35,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S7,policy_safe_no_shallow,90.97,90.97,0.0,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S8,policy_safe_no_shallow,84.38,84.38,0.0,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S9,policy_safe_no_shallow,87.85,89.24,1.39,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S1,replay_safe_uniform,85.76,86.11,0.35,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S2,replay_safe_uniform,72.57,72.22,-0.35,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S3,replay_safe_uniform,93.06,94.79,1.73,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S4,replay_safe_uniform,81.94,81.94,0.0,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
S5,replay_safe_uniform,77.43,78.12,0.69,0,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/c_aug_true_9subj_20260506_004923/summary.json
