LR,Reg,Ratio,Subject,Accuracy
0.1,0.01,0.25,1,0.7759
0.1,0.01,0.25,2,0.7414
0.1,0.01,0.25,3,0.8621
0.1,0.01,0.25,4,0.8103
0.1,0.01,0.25,5,0.7414
0.1,0.01,0.25,6,0.8448
0.1,0.01,0.25,7,0.9310
0.1,0.01,0.25,8,0.8966
0.1,0.01,0.25,9,0.8276
0.1,0.01,0.125,1,0.8621
0.1,0.01,0.125,2,0.7586
0.1,0.01,0.125,3,0.8448
0.1,0.01,0.125,4,0.7759
0.1,0.01,0.125,5,0.7069
0.1,0.01,0.125,6,0.7759
0.1,0.01,0.125,7,0.8966
0.1,0.01,0.125,8,0.8966
0.1,0.01,0.125,9,0.8448
0.1,0.05,0.25,1,0.7759
0.1,0.05,0.25,2,0.7414
0.1,0.05,0.25,3,0.8621
0.1,0.05,0.25,4,0.8103
0.1,0.05,0.25,5,0.7414
0.1,0.05,0.25,6,0.8448
0.1,0.05,0.25,7,0.9310
0.1,0.05,0.25,8,0.8966
0.1,0.05,0.25,9,0.8276
0.1,0.05,0.125,1,0.8621
0.1,0.05,0.125,2,0.7586
0.1,0.05,0.125,3,0.8448
0.1,0.05,0.125,4,0.7759
0.1,0.05,0.125,5,0.7069
0.1,0.05,0.125,6,0.7759
0.1,0.05,0.125,7,0.8966
0.1,0.05,0.125,8,0.8966
0.1,0.05,0.125,9,0.8448
0.1,0.1,0.25,1,0.7759
0.1,0.1,0.25,2,0.7414
0.1,0.1,0.25,3,0.8621
0.1,0.1,0.25,4,0.8103
0.1,0.1,0.25,5,0.7414
0.1,0.1,0.25,6,0.8448
0.1,0.1,0.25,7,0.9310
0.1,0.1,0.25,8,0.8966
0.1,0.1,0.25,9,0.8276
0.1,0.1,0.125,1,0.8621
0.1,0.1,0.125,2,0.7586
0.1,0.1,0.125,3,0.8448
0.1,0.1,0.125,4,0.7759
0.1,0.1,0.125,5,0.7069
0.1,0.1,0.125,6,0.7759
0.1,0.1,0.125,7,0.8966
0.1,0.1,0.125,8,0.8966
0.1,0.1,0.125,9,0.8448
